epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12748.5,0.93279,2.1348,0.94721,1.2813,0.7067,0.38761,0.47849,0.34586,0.68607,0.384,0.45567,0.2631,1.23054,2.97383,1.7376,1.44331,0.000107726,0.000107726,0.000107726
43,13048.4,0.92562,2.15422,0.92587,1.26809,0.52676,0.41542,0.44006,0.31246,0.51944,0.41051,0.42748,0.25235,1.2771,3.03343,1.8608,1.49019,0.000102231,0.000102231,0.000102231
44,13348.1,0.89965,2.08585,0.9088,1.25426,0.60092,0.44667,0.48748,0.366,0.65999,0.39635,0.45829,0.28667,1.2099,2.94147,1.75439,1.43064,9.67365e-05,9.67365e-05,9.67365e-05
45,13648.5,0.91209,2.10883,0.90386,1.26548,0.54347,0.4836,0.49694,0.37889,0.52815,0.47943,0.48171,0.29806,1.21951,2.95473,1.75878,1.45123,9.1242e-05,9.1242e-05,9.1242e-05
46,13948.1,0.89029,2.07783,0.90493,1.24607,0.7685,0.43297,0.5171,0.38836,0.78168,0.42531,0.50196,0.30933,1.23065,2.91912,1.68985,1.45174,8.57475e-05,8.57475e-05,8.57475e-05
47,14248.7,0.89947,2.05889,0.91211,1.2601,0.63702,0.44813,0.49498,0.38036,0.61445,0.44233,0.46879,0.29669,1.24804,2.99464,1.82608,1.46971,8.0253e-05,8.0253e-05,8.0253e-05
48,14551.5,0.88091,2.07719,0.89338,1.23669,0.73387,0.42519,0.50873,0.36934,0.71458,0.41959,0.48973,0.31597,1.20586,2.9184,1.66535,1.42035,7.47585e-05,7.47585e-05,7.47585e-05
49,14852.3,0.8771,2.03302,0.88591,1.24279,0.81894,0.39641,0.49623,0.37412,0.79857,0.39265,0.47572,0.29025,1.21977,2.95093,1.70441,1.43844,6.9264e-05,6.9264e-05,6.9264e-05
50,15152.4,0.88323,2.03265,0.87375,1.23593,0.59759,0.44782,0.49869,0.38688,0.57467,0.43812,0.47831,0.31702,1.20299,2.89051,1.66897,1.42469,6.37695e-05,6.37695e-05,6.37695e-05
51,15457.1,0.74057,1.74938,0.741,1.12916,0.82335,0.38189,0.49687,0.34336,0.80994,0.37625,0.47899,0.29918,1.16317,2.91833,1.71285,1.40066,5.8275e-05,5.8275e-05,5.8275e-05
52,15758.7,0.71992,1.71982,0.68243,1.12942,0.57893,0.43924,0.49975,0.38744,0.55924,0.43567,0.48243,0.31844,1.17255,2.92824,1.76296,1.39763,5.27805e-05,5.27805e-05,5.27805e-05
53,16060.9,0.7056,1.67842,0.63669,1.10994,0.74477,0.40022,0.48735,0.37467,0.75448,0.40398,0.47877,0.29568,1.18852,2.95478,1.77875,1.40317,4.7286e-05,4.7286e-05,4.7286e-05
54,16362.7,0.69494,1.65454,0.62474,1.10068,0.8113,0.40496,0.49521,0.34893,0.79823,0.40323,0.48151,0.29781,1.16478,2.90752,1.76441,1.39054,4.17915e-05,4.17915e-05,4.17915e-05
55,16663.5,0.68167,1.62831,0.62345,1.08887,0.85096,0.38789,0.49951,0.34634,0.84995,0.39353,0.49089,0.30215,1.16639,2.94273,1.76535,1.39186,3.6297e-05,3.6297e-05,3.6297e-05
56,16964.6,0.67538,1.61841,0.60407,1.09368,0.76732,0.41869,0.49242,0.37784,0.81892,0.38649,0.47259,0.29364,1.18983,2.98901,1.83556,1.41076,3.08025e-05,3.08025e-05,3.08025e-05
57,17266.8,0.67153,1.60465,0.5882,1.09494,0.81596,0.40668,0.4952,0.37866,0.80533,0.40441,0.48165,0.29628,1.17578,2.95726,1.84721,1.39917,2.5308e-05,2.5308e-05,2.5308e-05
58,17568.7,0.66986,1.58825,0.58373,1.08991,0.78953,0.40576,0.49989,0.38833,0.83337,0.37891,0.48788,0.31326,1.1637,2.93,1.82248,1.38759,1.98135e-05,1.98135e-05,1.98135e-05
59,17871.9,0.65964,1.58045,0.57253,1.08394,0.79311,0.40144,0.49501,0.3861,0.84786,0.36696,0.48041,0.29863,1.19799,2.95901,1.8749,1.41525,1.4319e-05,1.4319e-05,1.4319e-05
60,18174,0.65515,1.56594,0.55301,1.07325,0.6675,0.4348,0.49129,0.38349,0.84252,0.36928,0.47242,0.30423,1.19883,2.98597,1.89026,1.41512,8.8245e-06,8.8245e-06,8.8245e-06
